,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_as_ip,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_as_ip,b_saddr_lat,b_saddr_long
767037,1654599251,412234379,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,7992,Cogeco Cable,24.146.50.139,44.1665,-77.4037
767597,2926902910,1654599251,812,Rogers Communications Canada Inc.,174.116.254.126,42.7597,-81.1762,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
767598,1654599251,2926902910,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,812,Rogers Communications Canada Inc.,174.116.254.126,42.7597,-81.1762
767935,3638379699,1654599251,7992,Cogeco Cable,216.221.68.179,42.9578,-82.2777,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
768905,1082947125,1654599251,40788,Start Communications,64.140.118.53,43.6572,-79.3783,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
770112,1210505669,1654599251,7992,Cogeco Cable,72.38.217.197,42.9578,-82.2777,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
771244,1761238213,1654599250,15128,Comwave Telecom Inc.,104.250.92.197,43.0233,-81.1643,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
771538,1761238213,1654599251,15128,Comwave Telecom Inc.,104.250.92.197,43.0233,-81.1643,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
773630,846445527,1654599251,7992,Cogeco Cable,50.115.187.215,42.9578,-82.2777,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
780042,215430735,1654599251,7018,"AT&T Services, Inc.",12.215.54.79,37.751,-97.822,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
788162,1654599251,2393257317,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,855,Bell Canada,142.166.53.101,47.5334,-52.7595
788651,2393249426,1654599251,855,Bell Canada,142.166.22.146,47.5124,-52.6729,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
789329,2393249426,1654599250,855,Bell Canada,142.166.22.146,47.5124,-52.6729,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
789674,2392981811,1654599251,855,Bell Canada,142.162.1.51,47.5986,-52.6926,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
789828,2392981811,1654599250,855,Bell Canada,142.162.1.51,47.5986,-52.6926,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
792884,1654599250,2393257317,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,855,Bell Canada,142.166.53.101,47.5334,-52.7595
797961,412232355,1654599250,7992,Cogeco Cable,24.146.42.163,42.95,-82.1167,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
802589,1088785852,1654599251,577,Bell Canada,64.229.141.188,46.7589,-71.298,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
803742,1088785852,1654599250,577,Bell Canada,64.229.141.188,46.7589,-71.298,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
803937,1654599251,1632558126,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,33363,"BRIGHT HOUSE NETWORKS, LLC",97.78.220.46,40.5099,-85.6264
805212,846445527,1654599250,7992,Cogeco Cable,50.115.187.215,42.9578,-82.2777,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
808418,1654599251,1088785852,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,577,Bell Canada,64.229.141.188,46.7589,-71.298
811978,1654599250,1088785852,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,577,Bell Canada,64.229.141.188,46.7589,-71.298
814932,756118608,1654599251,7018,"AT&T Services, Inc.",45.17.116.80,39.1604,-119.8618,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
815407,756118608,1654599250,7018,"AT&T Services, Inc.",45.17.116.80,39.1604,-119.8618,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
822597,1654599251,846445527,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,7992,Cogeco Cable,50.115.187.215,42.9578,-82.2777
824334,1654599250,2393249426,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,855,Bell Canada,142.166.22.146,47.5124,-52.6729
830884,1655456051,1654599250,22773,Cox Communications Inc.,98.172.65.51,33.5076,-112.0583,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
830932,413970142,1654599250,33363,"BRIGHT HOUSE NETWORKS, LLC",24.172.174.222,39.9738,-86.1765,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
838753,416559808,1654599251,35911,Telebec,24.212.50.192,48.1002,-77.7828,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
844496,2621001610,1654599250,855,Bell Canada,156.57.79.138,47.5167,-52.7833,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
844511,2621001610,1654599251,855,Bell Canada,156.57.79.138,47.5167,-52.7833,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
845287,1654599251,2393249426,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,855,Bell Canada,142.166.22.146,47.5124,-52.6729
850124,2393019066,1654599250,855,Bell Canada,142.162.146.186,47.5124,-52.6729,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
869816,1654599250,846445527,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7992,Cogeco Cable,50.115.187.215,42.9578,-82.2777
870278,1654599250,1282584635,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",76.114.176.59,39.2575,-76.4951
874555,757118707,1654599250,20473,"Choopa, LLC",45.32.182.243,51.5142,-0.0931,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
874580,757118707,1654599251,20473,"Choopa, LLC",45.32.182.243,51.5142,-0.0931,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
876202,1176485237,1654599250,577,Bell Canada,70.31.189.117,43.9581,-78.8972,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
877178,1176485237,1654599251,577,Bell Canada,70.31.189.117,43.9581,-78.8972,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
877488,1654599251,1176485237,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,577,Bell Canada,70.31.189.117,43.9581,-78.8972
897515,1210492883,1654599250,7992,Cogeco Cable,72.38.167.211,42.9578,-82.2777,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
901549,3638379699,1654599250,7992,Cogeco Cable,216.221.68.179,42.9578,-82.2777,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
905246,1654599251,3638379699,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,7992,Cogeco Cable,216.221.68.179,42.9578,-82.2777
909962,1654599250,2392989209,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,855,Bell Canada,142.162.30.25,47.5986,-52.6926
911790,1614103491,1654599251,6327,Shaw Communications Inc.,96.53.67.195,49.0787,-121.6098,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
911791,1654599251,1614103491,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,6327,Shaw Communications Inc.,96.53.67.195,49.0787,-121.6098
913009,3640363090,1654599251,14007,Skyway West,216.251.136.82,49.2788,-123.1139,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
927383,1654599250,3638379699,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7992,Cogeco Cable,216.221.68.179,42.9578,-82.2777
939538,3096949426,1654599251,36522,BELL MOBILITY INC.,184.151.178.178,43.6736,-79.4035,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
966896,3640368787,1654599251,14007,Skyway West,216.251.158.147,49.2807,-123.0397,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
966920,1090362003,1654599250,19171,Stargate Connections Inc.,64.253.154.147,49.2666,-123.1976,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
966923,3091619682,1654599250,6327,Shaw Communications Inc.,184.70.95.98,53.5428,-113.4974,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
966933,3512424079,1654599251,852,TELUS Communications Inc.,209.91.86.143,53.585,-113.5526,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
967038,1654599251,3330677851,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,30500,Wolfpaw Data Centres Inc,198.134.28.91,55.3333,-115.4167
967061,1654599250,3512272902,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,852,TELUS Communications Inc.,209.89.8.6,53.7168,-113.2187
967072,3330677851,1654599251,30500,Wolfpaw Data Centres Inc,198.134.28.91,55.3333,-115.4167,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
967174,1654599251,2731908580,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,54527,Astute Hosting Inc.,162.213.157.228,49.2866,-123.1158
967211,3091502738,1654599251,6327,Shaw Communications Inc.,184.68.150.146,49.1661,-122.5792,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
967257,1654599251,1653563098,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,19171,Stargate Connections Inc.,98.143.94.218,49.2767,-123.13
967263,3478245688,1654599250,852,TELUS Communications Inc.,207.81.209.56,49.2779,-123.0908,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
967275,3332465478,1654599250,6171,WorldGate,198.161.99.70,53.4914,-113.4802,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
967280,1654599250,2919739481,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,6327,Shaw Communications Inc.,174.7.176.89,49.2833,-123.1298
967309,3640363090,1654599250,14007,Skyway West,216.251.136.82,49.2788,-123.1139,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
967318,3236611778,1654599251,14007,Skyway West,192.234.198.194,49.222,-123.0683,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
967337,1090360462,1654599251,19171,Stargate Connections Inc.,64.253.148.142,49.2866,-123.1158,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
967363,3492161874,1654599251,852,TELUS Communications Inc.,208.38.41.82,51.0242,-114.1004,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
967411,1654599250,1090362003,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,19171,Stargate Connections Inc.,64.253.154.147,49.2666,-123.1976
967418,1268774617,1654599251,852,TELUS Communications Inc.,75.159.246.217,51.0242,-114.1004,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
967441,1654599250,1653562614,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,19171,Stargate Connections Inc.,98.143.92.246,49.2397,-123.0407
967523,1090360462,1654599250,19171,Stargate Connections Inc.,64.253.148.142,49.2866,-123.1158,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
967534,1654599251,1077449335,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,15102,WiBand Communications,64.56.146.119,53.4179,-113.5785
967563,408408257,1654599250,6327,Shaw Communications Inc.,24.87.208.193,49.2833,-123.1298,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
967592,1654599251,3478245688,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,852,TELUS Communications Inc.,207.81.209.56,49.2779,-123.0908
967602,1090362003,1654599251,19171,Stargate Connections Inc.,64.253.154.147,49.2666,-123.1976,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
967612,1653560604,1654599250,19171,Stargate Connections Inc.,98.143.85.28,49.2475,-123.121,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
967617,3640368787,1654599250,14007,Skyway West,216.251.158.147,49.2807,-123.0397,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
967645,3512424079,1654599250,852,TELUS Communications Inc.,209.91.86.143,53.585,-113.5526,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
967680,2919755137,1654599251,6327,Shaw Communications Inc.,174.7.237.129,49.2475,-123.121,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
967699,3492161874,1654599250,852,TELUS Communications Inc.,208.38.41.82,51.0242,-114.1004,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
967733,1654599251,1090362003,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,19171,Stargate Connections Inc.,64.253.154.147,49.2666,-123.1976
967813,1654599251,3478222275,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,852,TELUS Communications Inc.,207.81.117.195,49.2795,-123.0667
967815,1654599251,843371666,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,6327,Shaw Communications Inc.,50.68.212.146,49.316,-123.0576
967845,1654599250,2734649927,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,40788,Start Communications,162.255.114.71,43.623,-79.3936
967861,1654599251,1268497742,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,852,TELUS Communications Inc.,75.155.189.78,49.2475,-123.121
967868,386965699,1654599251,852,TELUS Communications Inc.,23.16.160.195,49.2795,-123.0667,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
967888,1268517701,1654599251,852,TELUS Communications Inc.,75.156.11.69,49.2492,-123.1104,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
967919,1654599251,2734649927,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,40788,Start Communications,162.255.114.71,43.623,-79.3936
967940,386989517,1654599250,852,TELUS Communications Inc.,23.16.253.205,49.0791,-122.7553,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
967947,1654599250,386933003,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,852,TELUS Communications Inc.,23.16.33.11,49.262,-123.0923
967970,1244849474,1654599250,14007,Skyway West,74.50.229.66,49.316,-123.0576,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
968009,3463715872,1654599250,852,TELUS Communications Inc.,206.116.28.32,49.3615,-123.2627,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
968026,1654599250,3463712682,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,852,TELUS Communications Inc.,206.116.15.170,49.2327,-123.0917
968057,1653562614,1654599250,19171,Stargate Connections Inc.,98.143.92.246,49.2397,-123.0407,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
968060,1654599251,3091469318,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,6327,Shaw Communications Inc.,184.68.20.6,49.2436,-122.7865
968126,1654599251,3350650158,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,19171,Stargate Connections Inc.,199.182.221.46,49.2478,-122.9938
968143,1654599251,3463712682,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,852,TELUS Communications Inc.,206.116.15.170,49.2327,-123.0917
968167,1654599250,3091469318,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,6327,Shaw Communications Inc.,184.68.20.6,49.2436,-122.7865
968203,1268497742,1654599250,852,TELUS Communications Inc.,75.155.189.78,49.2475,-123.121,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
968218,1654599250,1268628388,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,852,TELUS Communications Inc.,75.157.187.164,49.8928,-119.4852
968223,1654599251,3497430155,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,19171,Stargate Connections Inc.,208.118.140.139,49.2788,-123.1139
968242,1654599251,1676935419,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,812,Rogers Communications Canada Inc.,99.244.0.251,43.0614,-80.9943
968265,1676935419,1654599251,812,Rogers Communications Canada Inc.,99.244.0.251,43.0614,-80.9943,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
968310,1654599250,3332465478,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,6171,WorldGate,198.161.99.70,53.4914,-113.4802
968351,1654599250,1827712019,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7018,"AT&T Services, Inc.",108.240.172.19,39.8512,-86.2651
968359,1090360550,1654599251,19171,Stargate Connections Inc.,64.253.148.230,49.2866,-123.1158,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
968379,3091619682,1654599251,6327,Shaw Communications Inc.,184.70.95.98,53.5428,-113.4974,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
968384,1654599251,1090360462,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,19171,Stargate Connections Inc.,64.253.148.142,49.2866,-123.1158
968401,2919736882,1654599251,6327,Shaw Communications Inc.,174.7.166.50,49.299,-123.1408,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
968441,1654599251,3632003165,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,852,TELUS Communications Inc.,216.123.248.93,53.4609,-113.4519
968498,1654599250,3632003165,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,852,TELUS Communications Inc.,216.123.248.93,53.4609,-113.4519
968519,1654599250,2731908580,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,54527,Astute Hosting Inc.,162.213.157.228,49.2866,-123.1158
968562,410138264,1654599251,812,Rogers Communications Canada Inc.,24.114.54.152,43.8669,-79.4414,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
968569,1654599250,1178711303,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,6327,Shaw Communications Inc.,70.65.181.7,49.6511,-112.8351
968583,1654599250,3350650146,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,19171,Stargate Connections Inc.,199.182.221.34,49.2478,-122.9938
968625,3350650146,1654599250,19171,Stargate Connections Inc.,199.182.221.34,49.2478,-122.9938,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
968633,1654599250,1090362013,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,19171,Stargate Connections Inc.,64.253.154.157,49.2666,-123.1976
968643,1654599250,3350650150,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,19171,Stargate Connections Inc.,199.182.221.38,49.2478,-122.9938
968645,1654599250,1268774617,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,852,TELUS Communications Inc.,75.159.246.217,51.0242,-114.1004
968648,1654599250,1653560011,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,19171,Stargate Connections Inc.,98.143.82.203,49.2795,-123.0667
968681,1654599250,3492161874,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,852,TELUS Communications Inc.,208.38.41.82,51.0242,-114.1004
968689,3640368282,1654599251,14007,Skyway West,216.251.156.154,48.4167,-123.365,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
968691,1654599251,1614101266,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,6327,Shaw Communications Inc.,96.53.59.18,49.262,-123.0923
968765,1654599250,3091461651,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,6327,Shaw Communications Inc.,184.67.246.19,49.1285,-122.6236
968778,1654599250,2919736882,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,6327,Shaw Communications Inc.,174.7.166.50,49.299,-123.1408
968780,1654599250,2919755137,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,6327,Shaw Communications Inc.,174.7.237.129,49.2475,-123.121
968824,1654599251,3091631882,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,6327,Shaw Communications Inc.,184.70.143.10,49.2788,-123.1139
968896,1654599251,3512424079,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,852,TELUS Communications Inc.,209.91.86.143,53.585,-113.5526
968945,410138264,1654599250,812,Rogers Communications Canada Inc.,24.114.54.152,43.8669,-79.4414,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
968968,1653562909,1654599250,19171,Stargate Connections Inc.,98.143.94.29,49.316,-123.0576,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
968977,1653562909,1654599251,19171,Stargate Connections Inc.,98.143.94.29,49.316,-123.0576,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
968990,1654599250,845302071,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,852,TELUS Communications Inc.,50.98.73.55,50.0163,-124.3226
969039,1653559798,1654599250,19171,Stargate Connections Inc.,98.143.81.246,49.2478,-122.9938,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
969095,1654599250,1178985642,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,6327,Shaw Communications Inc.,70.69.228.170,49.2068,-122.4851
969099,1654599250,3091632362,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,6327,Shaw Communications Inc.,184.70.144.234,49.2788,-123.1139
969104,1090360654,1654599251,19171,Stargate Connections Inc.,64.253.149.78,49.2866,-123.1158,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
969105,1654599251,1090360654,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,19171,Stargate Connections Inc.,64.253.149.78,49.2866,-123.1158
969130,1654599250,3640368787,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,14007,Skyway West,216.251.158.147,49.2807,-123.0397
969148,1090362013,1654599250,19171,Stargate Connections Inc.,64.253.154.157,49.2666,-123.1976,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
969239,1654599250,1653562909,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,19171,Stargate Connections Inc.,98.143.94.29,49.316,-123.0576
969246,1654599251,3463715872,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,852,TELUS Communications Inc.,206.116.28.32,49.3615,-123.2627
969251,1654599251,1244849474,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,14007,Skyway West,74.50.229.66,49.316,-123.0576
969266,1654599251,3475127854,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,6171,WorldGate,207.34.62.46,53.55,-113.5
969285,1654599250,3463715872,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,852,TELUS Communications Inc.,206.116.28.32,49.3615,-123.2627
969291,3463715872,1654599251,852,TELUS Communications Inc.,206.116.28.32,49.3615,-123.2627,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
969292,1654599251,3478238583,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,852,TELUS Communications Inc.,207.81.181.119,49.25,-123.1333
969295,1244849474,1654599251,14007,Skyway West,74.50.229.66,49.316,-123.0576,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
969348,1654599251,1090362013,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,19171,Stargate Connections Inc.,64.253.154.157,49.2666,-123.1976
969354,1654599251,3492161874,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,852,TELUS Communications Inc.,208.38.41.82,51.0242,-114.1004
969442,2919736882,1654599250,6327,Shaw Communications Inc.,174.7.166.50,49.299,-123.1408,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
969472,1654599250,3330677851,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,30500,Wolfpaw Data Centres Inc,198.134.28.91,55.3333,-115.4167
969480,3350650150,1654599251,19171,Stargate Connections Inc.,199.182.221.38,49.2478,-122.9938,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
969497,3624749586,1654599251,15290,Allstream Corp.,216.13.74.18,43.5924,-79.7611,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
969518,1654599251,1090360550,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,19171,Stargate Connections Inc.,64.253.148.230,49.2866,-123.1158
969527,1654599251,1268517701,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,852,TELUS Communications Inc.,75.156.11.69,49.2492,-123.1104
969577,1654599251,1176778026,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,40029,Novus Entertainment Inc.,70.36.53.42,49.2788,-123.1139
969616,1654599251,875246285,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,16509,"Amazon.com, Inc.",52.43.50.205,45.8696,-119.688
969655,1654599250,1653560604,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,19171,Stargate Connections Inc.,98.143.85.28,49.2475,-123.121
969658,1654599251,3236611778,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,14007,Skyway West,192.234.198.194,49.222,-123.0683
969672,3091632362,1654599251,6327,Shaw Communications Inc.,184.70.144.234,49.2788,-123.1139,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
969717,1090360938,1654599250,19171,Stargate Connections Inc.,64.253.150.106,49.1707,-122.7326,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
969721,1090360550,1654599250,19171,Stargate Connections Inc.,64.253.148.230,49.2866,-123.1158,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
969725,1654599250,2919557342,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,6327,Shaw Communications Inc.,174.4.232.222,49.8928,-119.4852
969731,2731908580,1654599250,54527,Astute Hosting Inc.,162.213.157.228,49.2866,-123.1158,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
969734,1654599251,843093146,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,6327,Shaw Communications Inc.,50.64.148.154,49.2833,-123.1298
969794,3091469318,1654599250,6327,Shaw Communications Inc.,184.68.20.6,49.2436,-122.7865,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
969834,3091469318,1654599251,6327,Shaw Communications Inc.,184.68.20.6,49.2436,-122.7865,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
969854,1654599250,3640368282,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,14007,Skyway West,216.251.156.154,48.4167,-123.365
969855,386933003,1654599250,852,TELUS Communications Inc.,23.16.33.11,49.262,-123.0923,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
969857,1654599251,845302071,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,852,TELUS Communications Inc.,50.98.73.55,50.0163,-124.3226
969858,1090360938,1654599251,19171,Stargate Connections Inc.,64.253.150.106,49.1707,-122.7326,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
969860,1654599250,3478238498,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,852,TELUS Communications Inc.,207.81.181.34,49.25,-123.1333
969865,1268517701,1654599250,852,TELUS Communications Inc.,75.156.11.69,49.2492,-123.1104,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
969902,1654599250,3091631882,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,6327,Shaw Communications Inc.,184.70.143.10,49.2788,-123.1139
969920,1654599251,3350650146,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,19171,Stargate Connections Inc.,199.182.221.34,49.2478,-122.9938
969984,386933003,1654599251,852,TELUS Communications Inc.,23.16.33.11,49.262,-123.0923,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
970036,1653563098,1654599250,19171,Stargate Connections Inc.,98.143.94.218,49.2767,-123.13,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
970064,1654599251,2919736882,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,6327,Shaw Communications Inc.,174.7.166.50,49.299,-123.1408
970086,1654599251,1653560604,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,19171,Stargate Connections Inc.,98.143.85.28,49.2475,-123.121
970103,1654599251,1090360938,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,19171,Stargate Connections Inc.,64.253.150.106,49.1707,-122.7326
970125,1654599251,3487047224,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,852,TELUS Communications Inc.,207.216.30.56,49.2788,-123.1139
970138,1654599251,3497430254,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,19171,Stargate Connections Inc.,208.118.140.238,49.2788,-123.1139
970154,845309816,1654599251,852,TELUS Communications Inc.,50.98.103.120,49.0374,-122.8299,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
970171,845302071,1654599251,852,TELUS Communications Inc.,50.98.73.55,50.0163,-124.3226,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
970175,1090360654,1654599250,19171,Stargate Connections Inc.,64.253.149.78,49.2866,-123.1158,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
970197,1654599250,1653563098,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,19171,Stargate Connections Inc.,98.143.94.218,49.2767,-123.13
970200,1654599251,2919632159,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,6327,Shaw Communications Inc.,174.6.13.31,49.2795,-123.0667
